,title,rating,price,avalibility,category
0,A Light in the ...,3,51.77,In stock,Poetry
1,Tipping the Velvet,1,53.74,In stock,Historical Fiction
2,Soumission,1,50.1,In stock,Fiction
3,Sharp Objects,4,47.82,In stock,Mystery
4,Sapiens: A Brief History ...,5,54.23,In stock,History
5,The Requiem Red,1,22.65,In stock,Young Adult
6,The Dirty Little Secrets ...,4,33.34,In stock,Business
7,The Coming Woman: A ...,3,17.93,In stock,Default
8,The Boys in the ...,4,22.6,In stock,Default
9,The Black Maria,1,52.15,In stock,Poetry
10,Starving Hearts (Triangular Trade ...,2,13.99,In stock,Default
11,Shakespeare's Sonnets,4,20.66,In stock,Poetry
12,Set Me Free,5,17.46,In stock,Young Adult
13,Scott Pilgrim's Precious Little ...,5,52.29,In stock,Sequential Art
14,Rip it Up and ...,5,35.02,In stock,Music
15,Our Band Could Be ...,3,57.25,In stock,Music
16,Olio,1,23.88,In stock,Poetry
17,Mesaerion: The Best Science ...,1,37.59,In stock,Science Fiction
18,Libertarianism for Beginners,2,51.33,In stock,Politics
19,It's Only the Himalayas,2,45.17,In stock,Travel
20,A Light in the ...,3,51.77,In stock,Poetry
21,Tipping the Velvet,1,53.74,In stock,Historical Fiction
22,Soumission,1,50.1,In stock,Fiction
23,Sharp Objects,4,47.82,In stock,Mystery
24,Sapiens: A Brief History ...,5,54.23,In stock,History
25,The Requiem Red,1,22.65,In stock,Young Adult
26,The Dirty Little Secrets ...,4,33.34,In stock,Business
27,The Coming Woman: A ...,3,17.93,In stock,Default
28,The Boys in the ...,4,22.6,In stock,Default
29,The Black Maria,1,52.15,In stock,Poetry
30,Starving Hearts (Triangular Trade ...,2,13.99,In stock,Default
31,Shakespeare's Sonnets,4,20.66,In stock,Poetry
32,Set Me Free,5,17.46,In stock,Young Adult
33,Scott Pilgrim's Precious Little ...,5,52.29,In stock,Sequential Art
34,Rip it Up and ...,5,35.02,In stock,Music
35,Our Band Could Be ...,3,57.25,In stock,Music
36,Olio,1,23.88,In stock,Poetry
37,Mesaerion: The Best Science ...,1,37.59,In stock,Science Fiction
38,Libertarianism for Beginners,2,51.33,In stock,Politics
39,It's Only the Himalayas,2,45.17,In stock,Travel
40,A Light in the ...,3,51.77,In stock,Poetry
41,Tipping the Velvet,1,53.74,In stock,Historical Fiction
42,Soumission,1,50.1,In stock,Fiction
43,Sharp Objects,4,47.82,In stock,Mystery
44,Sapiens: A Brief History ...,5,54.23,In stock,History
45,The Requiem Red,1,22.65,In stock,Young Adult
46,The Dirty Little Secrets ...,4,33.34,In stock,Business
47,The Coming Woman: A ...,3,17.93,In stock,Default
48,The Boys in the ...,4,22.6,In stock,Default
49,The Black Maria,1,52.15,In stock,Poetry
50,Starving Hearts (Triangular Trade ...,2,13.99,In stock,Default
51,Shakespeare's Sonnets,4,20.66,In stock,Poetry
52,Set Me Free,5,17.46,In stock,Young Adult
53,Scott Pilgrim's Precious Little ...,5,52.29,In stock,Sequential Art
54,Rip it Up and ...,5,35.02,In stock,Music
55,Our Band Could Be ...,3,57.25,In stock,Music
56,Olio,1,23.88,In stock,Poetry
57,Mesaerion: The Best Science ...,1,37.59,In stock,Science Fiction
58,Libertarianism for Beginners,2,51.33,In stock,Politics
59,It's Only the Himalayas,2,45.17,In stock,Travel
60,A Light in the ...,3,51.77,In stock,Poetry
61,Tipping the Velvet,1,53.74,In stock,Historical Fiction
62,Soumission,1,50.1,In stock,Fiction
63,Sharp Objects,4,47.82,In stock,Mystery
64,Sapiens: A Brief History ...,5,54.23,In stock,History
65,The Requiem Red,1,22.65,In stock,Young Adult
66,The Dirty Little Secrets ...,4,33.34,In stock,Business
67,The Coming Woman: A ...,3,17.93,In stock,Default
68,The Boys in the ...,4,22.6,In stock,Default
69,The Black Maria,1,52.15,In stock,Poetry
70,Starving Hearts (Triangular Trade ...,2,13.99,In stock,Default
71,Shakespeare's Sonnets,4,20.66,In stock,Poetry
72,Set Me Free,5,17.46,In stock,Young Adult
73,Scott Pilgrim's Precious Little ...,5,52.29,In stock,Sequential Art
74,Rip it Up and ...,5,35.02,In stock,Music
75,Our Band Could Be ...,3,57.25,In stock,Music
76,Olio,1,23.88,In stock,Poetry
77,Mesaerion: The Best Science ...,1,37.59,In stock,Science Fiction
78,Libertarianism for Beginners,2,51.33,In stock,Politics
79,It's Only the Himalayas,2,45.17,In stock,Travel
80,A Light in the ...,3,51.77,In stock,Poetry
81,Tipping the Velvet,1,53.74,In stock,Historical Fiction
82,Soumission,1,50.1,In stock,Fiction
83,Sharp Objects,4,47.82,In stock,Mystery
84,Sapiens: A Brief History ...,5,54.23,In stock,History
85,The Requiem Red,1,22.65,In stock,Young Adult
86,The Dirty Little Secrets ...,4,33.34,In stock,Business
87,The Coming Woman: A ...,3,17.93,In stock,Default
88,The Boys in the ...,4,22.6,In stock,Default
89,The Black Maria,1,52.15,In stock,Poetry
90,Starving Hearts (Triangular Trade ...,2,13.99,In stock,Default
91,Shakespeare's Sonnets,4,20.66,In stock,Poetry
92,Set Me Free,5,17.46,In stock,Young Adult
93,Scott Pilgrim's Precious Little ...,5,52.29,In stock,Sequential Art
94,Rip it Up and ...,5,35.02,In stock,Music
95,Our Band Could Be ...,3,57.25,In stock,Music
96,Olio,1,23.88,In stock,Poetry
97,Mesaerion: The Best Science ...,1,37.59,In stock,Science Fiction
98,Libertarianism for Beginners,2,51.33,In stock,Politics
99,It's Only the Himalayas,2,45.17,In stock,Travel
100,A Light in the ...,3,51.77,In stock,Poetry
101,Tipping the Velvet,1,53.74,In stock,Historical Fiction
102,Soumission,1,50.1,In stock,Fiction
103,Sharp Objects,4,47.82,In stock,Mystery
104,Sapiens: A Brief History ...,5,54.23,In stock,History
105,The Requiem Red,1,22.65,In stock,Young Adult
106,The Dirty Little Secrets ...,4,33.34,In stock,Business
107,The Coming Woman: A ...,3,17.93,In stock,Default
108,The Boys in the ...,4,22.6,In stock,Default
109,The Black Maria,1,52.15,In stock,Poetry
110,Starving Hearts (Triangular Trade ...,2,13.99,In stock,Default
111,Shakespeare's Sonnets,4,20.66,In stock,Poetry
112,Set Me Free,5,17.46,In stock,Young Adult
113,Scott Pilgrim's Precious Little ...,5,52.29,In stock,Sequential Art
114,Rip it Up and ...,5,35.02,In stock,Music
115,Our Band Could Be ...,3,57.25,In stock,Music
116,Olio,1,23.88,In stock,Poetry
117,Mesaerion: The Best Science ...,1,37.59,In stock,Science Fiction
118,Libertarianism for Beginners,2,51.33,In stock,Politics
119,It's Only the Himalayas,2,45.17,In stock,Travel
120,A Light in the ...,3,51.77,In stock,Poetry
121,Tipping the Velvet,1,53.74,In stock,Historical Fiction
122,Soumission,1,50.1,In stock,Fiction
123,Sharp Objects,4,47.82,In stock,Mystery
124,Sapiens: A Brief History ...,5,54.23,In stock,History
125,The Requiem Red,1,22.65,In stock,Young Adult
126,The Dirty Little Secrets ...,4,33.34,In stock,Business
127,The Coming Woman: A ...,3,17.93,In stock,Default
128,The Boys in the ...,4,22.6,In stock,Default
129,The Black Maria,1,52.15,In stock,Poetry
130,Starving Hearts (Triangular Trade ...,2,13.99,In stock,Default
131,Shakespeare's Sonnets,4,20.66,In stock,Poetry
132,Set Me Free,5,17.46,In stock,Young Adult
133,Scott Pilgrim's Precious Little ...,5,52.29,In stock,Sequential Art
134,Rip it Up and ...,5,35.02,In stock,Music
135,Our Band Could Be ...,3,57.25,In stock,Music
136,Olio,1,23.88,In stock,Poetry
137,Mesaerion: The Best Science ...,1,37.59,In stock,Science Fiction
138,Libertarianism for Beginners,2,51.33,In stock,Politics
139,It's Only the Himalayas,2,45.17,In stock,Travel
140,A Light in the ...,3,51.77,In stock,Poetry
141,Tipping the Velvet,1,53.74,In stock,Historical Fiction
142,Soumission,1,50.1,In stock,Fiction
143,Sharp Objects,4,47.82,In stock,Mystery
144,Sapiens: A Brief History ...,5,54.23,In stock,History
145,The Requiem Red,1,22.65,In stock,Young Adult
146,The Dirty Little Secrets ...,4,33.34,In stock,Business
147,The Coming Woman: A ...,3,17.93,In stock,Default
148,The Boys in the ...,4,22.6,In stock,Default
149,The Black Maria,1,52.15,In stock,Poetry
150,Starving Hearts (Triangular Trade ...,2,13.99,In stock,Default
151,Shakespeare's Sonnets,4,20.66,In stock,Poetry
152,Set Me Free,5,17.46,In stock,Young Adult
153,Scott Pilgrim's Precious Little ...,5,52.29,In stock,Sequential Art
154,Rip it Up and ...,5,35.02,In stock,Music
155,Our Band Could Be ...,3,57.25,In stock,Music
156,Olio,1,23.88,In stock,Poetry
157,Mesaerion: The Best Science ...,1,37.59,In stock,Science Fiction
158,Libertarianism for Beginners,2,51.33,In stock,Politics
159,It's Only the Himalayas,2,45.17,In stock,Travel
160,A Light in the ...,3,51.77,In stock,Poetry
161,Tipping the Velvet,1,53.74,In stock,Historical Fiction
162,Soumission,1,50.1,In stock,Fiction
163,Sharp Objects,4,47.82,In stock,Mystery
164,Sapiens: A Brief History ...,5,54.23,In stock,History
165,The Requiem Red,1,22.65,In stock,Young Adult
166,The Dirty Little Secrets ...,4,33.34,In stock,Business
167,The Coming Woman: A ...,3,17.93,In stock,Default
168,The Boys in the ...,4,22.6,In stock,Default
169,The Black Maria,1,52.15,In stock,Poetry
170,Starving Hearts (Triangular Trade ...,2,13.99,In stock,Default
171,Shakespeare's Sonnets,4,20.66,In stock,Poetry
172,Set Me Free,5,17.46,In stock,Young Adult
173,Scott Pilgrim's Precious Little ...,5,52.29,In stock,Sequential Art
